49,48,86
49,49,71
49,50,73
49,51,68
49,52,52
49,53,62
49,54,55
49,55,45
49,56,38
49,57,43
49,78,2
49,83,92
49,87,1
49,88,1
50,45,1
50,47,1
50,48,49
50,49,36
50,50,29
50,51,29
50,52,29
50,53,35
50,54,33
50,55,22
50,56,35
50,57,23
50,78,92
50,82,1
50,87,4
51,45,4
51,48,27
51,49,20
51,50,24
51,51,21
51,52,21
51,53,20
51,54,21
51,55,20
51,56,22
51,57,19
51,67,1
51,69,2
51,74,1
51,75,1
51,78,8
51,82,47
51,83,1
51,84,1
51,86,1
51,87,1
52,45,19
52,48,18
52,49,25
52,50,23
52,51,23
52,52,25
52,53,23
52,54,21
52,55,24
52,56,18
52,57,15
52,67,1
52,73,1
52,84,47
52,87,2
52,88,1
53,48,25
53,49,13
53,50,14
53,51,14
53,52,13
53,53,15
53,54,19
53,55,17
53,56,13
53,57,13
53,84,43
54,48,16
54,49,14
54,50,17
54,51,23
54,52,21
54,53,17
54,54,14
54,55,15
54,56,13
54,57,14
54,68,2
54,72,1
54,79,1
54,81,1
54,83,1
54,84,25
54,85,1
54,87,3
54,89,1
55,45,2
55,48,14
55,49,13
55,50,17
55,51,20
55,52,13
55,53,15
55,54,11
55,55,16
55,56,14
55,57,13
55,77,1
55,84,27
55,85,1
56,48,15
56,49,13
56,50,15
56,51,15
56,52,16
56,53,18
56,54,12
56,55,12
56,56,12
56,57,18
56,84,24
57,45,1
57,48,12
57,49,10
57,50,8
57,51,9
57,52,10
57,53,6
57,54,5
57,55,5
57,56,7
57,57,7
57,84,25
65,32,175
65,38,8
65,39,1
65,45,19
65,48,1
65,49,2
65,53,2
65,54,1
65,65,175
65,66,175
65,67,175
65,68,175
65,69,140
65,70,109
65,71,175
65,72,175
65,73,175
65,74,35
65,75,175
65,76,175
65,77,175
65,78,175
65,79,27
65,80,175
65,81,145
65,82,175
65,83,175
65,84,175
65,85,175
65,86,175
65,87,108
65,88,84
65,89,175
65,90,175
66,32,175
66,38,13
66,39,5
66,45,27
66,46,1
66,47,1
66,48,6
66,50,1
66,53,2
66,55,2
66,56,1
66,65,175
66,66,10
66,67,5
66,68,4
66,69,175
66,70,4
66,72,15
66,73,175
66,74,38
66,75,3
66,76,175
66,77,11
66,78,4
66,79,175
66,80,3
66,82,175
66,83,4
66,84,2
66,85,175
66,86,3
66,87,6
66,89,175
67,32,175
67,38,11
67,39,5
67,45,19
67,46,1
67,48,2
67,52,1
67,53,1
67,65,175
67,66,12
67,67,21
67,68,12
67,69,175
67,71,3
67,72,175
67,73,175
67,74,4
67,75,5
67,76,175
67,77,11
67,78,12
67,79,175
67,80,20
67,82,175
67,83,18
67,84,15
67,85,175
67,86,6
67,87,7
67,89,175
67,90,31
68,32,175
68,38,9
68,39,54
68,45,14
68,47,1
68,48,132
68,49,57
68,50,14
68,51,52
68,52,106
68,53,1
68,54,2
68,55,1
68,65,175
68,66,6
68,67,1
68,68,10
68,69,175
68,70,1
68,72,24
68,73,175
68,74,12
68,75,1
68,76,17
68,77,7
68,78,10
68,79,175
68,80,4
68,82,175
68,83,2
68,84,2
68,85,175
68,86,12
68,87,112
68,89,175
68,90,11
69,32,175
69,38,3
69,39,2
69,45,14
69,46,1
69,47,7
69,48,175
69,49,175
69,50,78
69,51,13
69,52,13
69,53,3
69,54,2
69,55,1
69,56,10
69,57,7
69,65,175
69,66,175
69,67,175
69,68,175
69,69,46
69,70,84
69,71,175
69,72,87
69,73,175
69,74,3
69,75,77
69,76,175
69,77,175
69,78,175
69,79,32
69,80,175
69,81,58
69,82,175
69,83,175
69,84,175
69,85,175
69,86,175
69,87,175
69,88,175
69,89,84
69,90,67
70,32,175
70,38,2
70,45,8
70,48,1
70,49,1
70,50,1
70,51,1
70,53,3
70,56,1
70,65,175
70,66,3
70,67,7
70,68,5
70,69,175
70,70,8
70,71,1
70,72,3
70,73,175
70,74,12
70,76,175
70,77,3
70,78,3
70,79,175
70,82,175
70,83,4
70,84,6
70,85,175
70,87,1
70,89,34
71,32,175
71,38,4
71,39,2
71,45,13
71,50,2
71,53,2
71,54,1
71,55,1
71,56,1
71,57,2
71,65,175
71,66,4
71,68,2
71,69,175
71,70,2
71,71,4
71,72,104
71,73,175
71,74,6
71,76,175
71,77,8
71,78,56
71,79,175
71,82,175
71,83,6
71,84,6
71,85,175
71,86,6
71,87,168
71,89,104
72,32,175
72,38,4
72,45,14
72,49,1
72,50,2
72,51,2
72,53,1
72,55,1
72,65,175
72,66,5
72,67,8
72,68,2
72,69,175
72,70,1
72,71,1
72,72,4
72,73,175
72,74,14
72,75,2
72,76,13
72,77,9
72,78,3
72,79,175
72,80,2
72,82,26
72,83,27
72,84,1
72,85,175
72,86,2
72,87,4
72,89,175
73,32,96
73,38,1
73,39,2
73,45,22
73,46,1
73,49,2
73,50,2
73,51,2
73,52,1
73,54,1
73,55,1
73,56,2
73,65,57
73,66,70
73,67,162
73,68,175
73,69,17
73,70,11
73,71,49
73,72,40
73,73,12
73,74,8
73,75,119
73,76,175
73,77,175
73,78,175
73,79,124
73,80,42
73,81,2
73,82,175
73,83,175
73,84,120
73,85,11
73,86,175
73,87,25
73,88,8
73,89,11
73,90,50
74,32,175
74,38,12
74,39,2
74,45,20
74,50,2
74,52,2
74,54,1
74,55,1
74,56,2
74,57,1
74,65,175
74,66,8
74,67,10
74,68,8
74,69,175
74,70,8
74,71,1
74,72,7
74,73,175
74,74,7
74,75,3
74,76,8
74,77,10
74,78,4
74,79,175
74,80,5
74,82,12
74,83,3
74,84,4
74,85,175
74,86,6
74,87,6
74,89,11
74,90,3
75,32,175
75,38,5
75,39,2
75,45,36
75,49,5
75,50,3
75,51,1
75,52,2
75,53,2
75,57,2
75,65,175
75,66,5
75,67,5
75,68,3
75,69,175
75,70,1
75,71,3
75,72,55
75,73,175
75,74,15
75,75,2
75,76,175
75,77,13
75,78,175
75,79,175
75,81,1
75,82,175
75,83,10
75,84,6
75,85,175
75,86,16
75,87,38
75,89,175
76,32,175
76,38,9
76,39,29
76,45,11
76,47,1
76,49,3
76,50,1
76,51,1
76,52,1
76,53,1
76,55,1
76,65,175
76,66,5
76,67,4
76,68,4
76,69,175
76,70,1
76,71,2
76,72,10
76,73,175
76,74,7
76,75,1
76,76,175
76,77,6
76,78,4
76,79,175
76,80,3
76,82,6
76,83,13
76,84,5
76,85,175
76,86,1
76,87,6
76,89,175
76,90,1
77,32,175
77,38,5
77,39,3
77,45,19
77,46,1
77,48,1
77,49,2
77,50,1
77,51,1
77,52,1
77,53,1
77,54,1
77,55,2
77,65,175
77,66,3
77,67,175
77,68,7
77,69,175
77,70,2
77,71,5
77,72,7
77,73,175
77,74,7
77,75,2
77,76,13
77,77,3
77,78,8
77,79,175
77,80,2
77,82,53
77,83,14
77,84,81
77,85,175
77,86,3
77,87,4
77,89,175
77,90,1
78,32,175
78,38,1
78,45,8
78,47,7
78,48,9
78,49,69
78,50,175
78,51,175
78,52,175
78,53,5
78,54,1
78,55,2
78,56,1
78,57,1
78,65,175
78,66,1
78,67,7
78,68,2
78,69,175
78,70,6
78,71,5
78,73,175
78,74,2
78,77,2
78,78,3
78,79,175
78,80,2
