ID,83704,W Emerald,87,32,69,St,Boise,214,1
ID,83704,W Northview,87,32,78,St,Boise,335,1
ID,83705,S La Cassia,83,32,76,Dr,Boise,238,1
ID,83709,W Salt Creek,87,32,83,Dr,Boise,373,1
ID,83712,E Fort,69,32,70,St,Boise,221,1
ID,83801,E Menser,69,32,77,Ave,Athol,290,1
ID,83814,E Harrison,69,32,72,Ave,Coeur D Alene,72,2
ID,83815,N Mineral,78,32,77,Dr,Coeur D Alene,290,1
ID,83815,W Golf Course,87,32,71,Rd,Coeur D Alene,240,1
ID,83815,W Haycraft,87,32,72,Ave,Coeur D Alene,255,1
ID,83837,Mckinley,77,67,75,Ave,Kellogg,27,2
ID,83854,E Polston,69,32,80,Ave,Post Falls,316,1
ID,83858,N Ramsey,78,32,82,Rd,Rathdrum,344,1
ID,83858,N Schooner,78,32,83,St,Rathdrum,365,1
ID,83858,N Washington,78,32,87,St,Rathdrum,20,5
NM,88063,Mcnutt,77,67,78,Rd,Sunland Park,118,1
NM,88081,E Lisa,69,32,76,Dr,Chaparral,272,1
NM,88081,S County Line,83,32,67,Dr,Chaparral,144,1
NM,88101,N Davis,78,32,68,St,Clovis,173,1
NM,88119,E Sumner,69,32,83,Ave,Fort Sumner,354,1
NM,88119,N 10th,78,32,49,St,Fort Sumner,21,4
NM,88130,S Globe,83,32,71,Ave,Portales,191,1
NM,88130,S Knoxville,83,32,75,St,Portales,234,1
NM,88130,W Fir,87,32,70,St,Portales,223,1
NM,88201,E Country Club,69,32,67,Rd,Roswell,201,1
NM,88201,E Mescalero,69,32,77,Rd,Roswell,291,1
NM,88203,E Bland,69,32,66,St,Roswell,169,1
NM,88203,E Hobbs,69,32,72,St,Roswell,244,1
NM,88203,E Mountain View,69,32,77,Rd,Roswell,82,2
NM,88203,S Garden,83,32,71,Ave,Roswell,181,1
NM,88203,W Hobbs,87,32,72,St,Roswell,262,1
NM,88220,N Canal,78,32,67,St,Carlsbad,151,1
NM,88220,W Church,87,32,67,St,Carlsbad,35,3
NM,88240,W Lea,87,32,76,St,Hobbs,297,1
NM,88345,Sudderth,83,85,68,Dr,Ruidoso,58,1
OR,97003,SW Merlo,83,87,32,Dr,Beaverton,78,1
OR,97005,SW Cedar Hills,83,87,32,Blvd,Beaverton,66,1
OR,97005,SW Crescent,83,87,32,St,Beaverton,68,1
OR,97013,SW 2nd,83,87,32,Ave,Canby,3,5
OR,97016,SW Belair,83,87,32,Dr,Clatskanie,64,1
OR,97030,NE 2nd,78,69,32,St,Gresham,19,2
OR,97030,NW Burnside,78,87,32,Rd,Gresham,57,1
OR,97030,SE 223rd,83,69,32,Ave,Gresham,70,1
OR,97045,Beavercreek,66,69,65,Rd,Oregon City,144,1
OR,97058,Webber,87,69,66,St,The Dalles,35,2
OR,97062,SW Boones Ferry,83,87,32,Rd,Tualatin,65,1
OR,97113,N Adair,78,32,65,St,Cornelius,99,1
OR,97123,SE Century,83,69,32,Blvd,Hillsboro,83,1
OR,97123,SE Oak,83,69,32,St,Hillsboro,88,1
OR,97123,SW Walnut,83,87,32,St,Hillsboro,85,1
OR,97124,NE Aloclek,78,69,32,Dr,Hillsboro,60,1
OR,97128,NE Evans,78,69,32,St,Mcminnville,66,1
OR,97128,NE May,78,69,32,Ln,Mcminnville,75,1
OR,97201,SW 17th,83,87,32,Ave,Portland,36,1
OR,97202,SE 26th,83,69,32,Ave,Portland,72,1
NV,89015,E Horizon,69,32,72,Dr,Henderson,246,1
NV,89015,E Lake Mead,69,32,76,Pkwy,Henderson,264,1
NV,89020,E Farm,69,32,70,Rd,Amargosa Valley,215,1
NV,89030,E Tonopah,69,32,84,Ave,North Las Vegas,356,1
NV,89030,W Owens,87,32,79,Ave,North Las Vegas,345,1
NV,89106,Mount Mariah,77,79,85,Dr,Las Vegas,287,1
NV,89169,S Eastern,83,32,69,Ave,Las Vegas,32,3
NV,89431,Oddie,79,68,68,Blvd,Sparks,3,1
NV,89440,E Carson,69,32,67,St,Virginia City,182,1
NV,89502,Crampton,67,82,65,St,Reno,66,1
NV,89502,Meadow Wood,77,69,65,Ln,Reno,73,1
NV,89502,S Rock,83,32,82,Blvd,Reno,303,1
NV,89502,S Wells,83,32,87,Ave,Reno,347,1
NV,89701,N Carson,78,32,67,St,Carson City,152,1
NV,89703,W Musser,87,32,77,St,Carson City,332,1
NV,89825,Lady Luck,76,65,68,Dr,Jackpot,204,1
OR,97202,SE 34th,83,69,32,Ave,Portland,31,2
OR,97203,N Burr,78,32,66,Ave,Portland,143,1
OR,97203,N Lombard,78,32,76,St,Portland,64,2
OR,97203,N Willis,78,32,87,Blvd,Portland,419,1
OR,97204,SW Oak,83,87,32,St,Portland,80,1
OR,97205,SW 12th,83,87,32,Ave,Portland,25,1
OR,97205,SW 13th,83,87,32,Ave,Portland,28,1
OR,97205,SW Madison,83,87,32,St,Portland,76,1
OR,97206,SE Woodward,83,69,32,St,Portland,97,1
OR,97209,NW,78,87,32,Broadway,Portland,12,1
OR,97209,NW 6th,78,87,32,Ave,Portland,10,2
OR,97209,NW Davis,78,87,32,St,Portland,60,1
OR,97209,NW Everett,78,87,32,St,Portland,61,1
OR,97209,NW Hoyt,78,87,32,St,Portland,65,1
OR,97212,NE Martin Luther King Jr,78,69,32,Blvd,Portland,74,1
OR,97213,NE 68th,78,69,32,Ave,Portland,54,1
OR,97214,SE 11th,83,69,32,Ave,Portland,29,2
OR,97217,N Kerby,78,32,75,Ave,Portland,250,1
OR,97218,NE Killingsworth,78,69,32,St,Portland,71,1
OR,97220,NE 82nd,78,69,32,Ave,Portland,56,1
ID,83858,W Rice,87,32,82,Rd,Rathdrum,366,1
ID,83864,N Second,78,32,83,Ave,Sandpoint,366,1
ID,83869,W Blackwell,87,32,66,Blvd,Spirit Lake,54,2
GA,30035,Snapfinger Woods,83,78,65,Dr,Decatur,6,1
GA,30040,Tribble Gap,84,82,73,Rd,Cumming,85,1
GA,30058,Dekalb Medical,68,69,75,Pkwy,Lithonia,153,1
GA,30125,E Girard,69,32,71,Ave,Cedartown,230,1
GA,30134,Connally,67,79,78,Dr,Douglasville,254,1
GA,30143,Samaritan,83,65,77,Dr,Jasper,236,1
GA,30223,W Solomon,87,32,83,St,Griffin,386,1
GA,30224,S Hill,83,32,72,St,Griffin,208,1
GA,30295,Barnesville,66,65,82,St,Zebulon,194,1
GA,30401,N Coleman,78,32,67,St,Swainsboro,165,1
GA,30439,NW Broad,78,87,32,St,Metter,56,1
GA,30442,E Winthrope,69,32,87,Ave,Millen,380,1
GA,30458,Brampton,66,82,65,Ave,Statesboro,119,1
GA,30474,Alice Coleman,65,76,73,Dr,Vidalia,135,1
GA,30513,Ballewtown,66,65,76,Rd,Blue Ridge,131,1
GA,30529,Steven B Tanger,83,84,69,Blvd,Commerce,214,1
GA,30540,Sailors,83,65,73,Dr,Ellijay,183,1
GA,30606,Athens West,65,84,72,Pkwy,Athens,16,1
GA,30628,Charlie Morris,67,72,65,Rd,Colbert,147,1
GA,30643,W Gibson,87,32,71,St,Hartwell,239,1
MN,55060,W Bridge,87,32,66,St,Owatonna,170,1
MN,55107,E Lafayette Frontage,69,32,76,Rd,Saint Paul,261,1
MN,55403,Currie,67,85,82,Ave,Minneapolis,45,1
MN,55403,Nicollet,78,73,67,Ave,Minneapolis,25,1
MN,55404,E 24th,69,32,50,St,Minneapolis,51,2
MN,55404,E Franklin,69,32,70,Ave,Minneapolis,224,1
MN,55406,Minnehaha,77,73,78,Ave,Minneapolis,159,1
MN,55408,E 35th,69,32,51,St,Minneapolis,55,2
MN,55415,S 3rd,83,32,51,St,Minneapolis,15,5
MN,55723,S River,83,32,82,St,Cook,67,2
MN,56187,Ryans,82,89,65,Rd,Worthington,4,1
MN,56628,Pine Tree,80,73,78,Dr,Bigfork,98,1
OR,97220,NE Shaver,78,69,32,St,Portland,80,1
OR,97222,SE Dwyer,83,69,32,Dr,Milwaukie,84,1
OR,97222,SE Willard,83,69,32,St,Portland,95,1
OR,97227,N Morris,78,32,77,St,Portland,298,1
OR,97227,N Weidler,78,32,87,St,Portland,410,1
OR,97227,N Williams,78,32,87,Ave,Portland,418,1
OR,97230,NE 181st,78,69,32,Ave,Portland,42,1
OR,97230,NE Couch,78,69,32,St,Portland,62,1
OR,97230,NE Glisan,78,69,32,St,Portland,68,1
OR,97231,NW Saint Helens,78,87,32,Rd,Portland,68,1
OR,97232,NE 12th,78,69,32,Ave,Portland,38,1
OR,97232,NE Flanders,78,69,32,St,Portland,67,1
OR,97232,NE M L King,78,69,32,Blvd,Portland,23,2
OR,97233,E Burnside,69,32,66,St,Portland,178,1
OR,97233,SE 122nd,83,69,32,Ave,Portland,63,1
OR,97233,SE 130th,83,69,32,Ave,Portland,65,1
OR,97233,SE 182nd,83,69,32,Ave,Portland,30,2
OR,97233,SE Stark,83,69,32,St,Portland,92,1
OR,97236,SE Division,83,69,32,St,Portland,19,3
OR,97266,SE Foster,83,69,32,Rd,Portland,86,1
GA,30648,Union Point,85,78,73,St,Lexington,11,1
GA,30662,Franklin Springs,70,82,65,St,Royston,44,1
GA,30680,W Athens,87,32,65,St,Winder,151,1
GA,30705,N 3rd,78,32,51,Ave,Chatsworth,6,7
GA,30728,S Burnt Mill,83,32,66,Rd,La Fayette,119,1
GA,30755,Rhea Mcclanahan,82,72,69,Dr,Tunnel Hill,8,1
GA,30901,Dantignac,68,65,78,St,Augusta,100,1
GA,30906,Golden Camp,71,79,76,Rd,Augusta,44,1
GA,30909,Garredd,71,65,82,Blvd,Augusta,132,1
GA,31006,Mcdowell,77,67,68,St,Butler,110,1
GA,31014,E Peacock,69,32,80,St,Cochran,312,1
GA,31015,Old Hatley,79,76,68,Rd,Cordele,51,1
GA,31015,S 7th,83,32,55,St,Cordele,4,9
GA,31021,Fairview Park,70,65,73,Dr,Dublin,86,1
GA,31030,N Camellia,78,32,67,Blvd,Fort Valley,149,1
GA,31055,E Willow Creek,69,32,87,Ln,Mc Rae,379,1
GA,31068,Medical,77,69,68,Ct,Oglethorpe,7,8
GA,31092,E Union,69,32,85,St,Vienna,89,2
GA,31096,E Elm,69,32,69,St,Wrightsville,213,1
GA,31096,W Elm,87,32,69,St,Wrightsville,64,2
NE,68025,N Clarkson,78,32,67,St,Fremont,162,1
NE,68104,Henninger,72,69,78,Dr,Omaha,120,1
NE,68107,S 42nd,83,32,52,St,Omaha,87,1
NE,68110,N 24th,78,32,50,St,Omaha,45,2
NE,68111,Fort,70,79,82,St,Omaha,102,1
NE,68134,Crown Point,67,82,79,Ave,Omaha,163,1
